,SCH_NAME,LSTREET1,LCITY,LSTATE,LZIP,VIRTUAL,TOTFRL,TOTAL,WH,FTE,LATCOD,LONCOD,ULOCALE,STUTERATIO,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,SCHOOL_LEVEL
30019,Elkton High,110 James St,Elkton,MD,21921,Supplemental Virtual,457.0,1061.0,493.0,71.5,39.6229,-75.8348,21-Suburb: Large,14.84,Regular school,Currently operational ,High
30025,North East High,300 Irishtown Rd,North East,MD,21901,Supplemental Virtual,337.0,1020.0,843.0,74.5,39.5854,-75.9332,41-Rural: Fringe,13.69,Regular school,Currently operational ,High
30027,Perryville High,1696 Perryville Rd,Perryville,MD,21903,Supplemental Virtual,233.0,810.0,677.0,57.0,39.5822,-76.063,22-Suburb: Mid-size,14.21,Regular school,Currently operational ,High
30035,Rising Sun High,100 Tiger Dr,North East,MD,21901,Supplemental Virtual,224.0,1076.0,972.0,72.5,39.6918,-75.9713,41-Rural: Fringe,14.84,Regular school,Currently operational ,High
30037,Westlake High School,3300 Middletown Rd,Waldorf,MD,20603,Supplemental Virtual,423.0,1139.0,68.0,76.0,38.622332,-76.967007,22-Suburb: Mid-size,14.99,Regular school,Currently operational ,High
30051,La Plata High School,6035 Radio Station Rd,La Plata,MD,20646,Supplemental Virtual,255.0,1174.0,703.0,71.0,38.5462,-76.9502,41-Rural: Fringe,16.54,Regular school,Currently operational ,High
30052,Henry E. Lackey High School,3000 Chicamuxen Rd,Indian Head,MD,20640,Supplemental Virtual,476.0,1024.0,276.0,71.0,38.5794,-77.1276,41-Rural: Fringe,14.42,Regular school,Currently operational ,High
30055,Maurice J. McDonough High School,7165 Marshall Corner Rd,Pomfret,MD,20675,Supplemental Virtual,291.0,999.0,310.0,63.0,38.555758000000004,-77.035139,41-Rural: Fringe,15.86,Regular school,Currently operational ,High
30059,Thomas Stone High School,3785 Leonardtown Rd,Waldorf,MD,20601,Supplemental Virtual,577.0,1115.0,138.0,85.0,38.614853000000004,-76.886379,22-Suburb: Mid-size,13.12,Regular school,Currently operational ,High
30065,North Point High School,2500 Davis Rd,Waldorf,MD,20603,Supplemental Virtual,411.0,1813.0,286.0,129.0,38.641397,-76.977121,22-Suburb: Mid-size,14.05,Regular school,Currently operational ,High
30071,St. Charles High School,5305 Piney Church Rd,Waldorf,MD,20602,Supplemental Virtual,583.0,1392.0,154.0,89.0,38.567694,-76.908996,41-Rural: Fringe,15.64,Regular school,Currently operational ,High
30074,Cambridge-South Dorchester High School,2475 Cambridge Beltway,Cambridge,MD,21613,Supplemental Virtual,782.0,782.0,246.0,50.7000007629395,38.5446,-76.0888,41-Rural: Fringe,15.42,Regular school,Currently operational ,High
