,SCH_NAME,LSTREET1,LCITY,LSTATE,LZIP,VIRTUAL,TOTFRL,TOTAL,WH,FTE,LATCOD,LONCOD,ULOCALE,STUTERATIO,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,SCHOOL_LEVEL
29538,Germantown Elementary,200 Windell Avenue,Annapolis,MD,21401,Supplemental Virtual,374.0,485.0,96.0,45.0999984741211,38.98125,-76.51635999999999,21-Suburb: Large,10.75,Regular school,Currently operational ,Elementary
29539,Glen Burnie High,7550 Baltimore Annapolis Blvd,Glen Burnie,MD,21060,Supplemental Virtual,1107.0,2132.0,798.0,134.600006103516,39.1594,-76.617,21-Suburb: Large,15.84,Regular school,Currently operational ,High
29540,Glen Burnie Park Elementary,500 Marlboro Rd,Glen Burnie,MD,21061,Supplemental Virtual,359.0,518.0,134.0,36.5999984741211,39.1402,-76.6361,21-Suburb: Large,14.15,Regular school,Currently operational ,Elementary
29541,Glendale Elementary,105 Carroll Rd,Glen Burnie,MD,21060,Supplemental Virtual,268.0,403.0,178.0,41.0,39.161,-76.6099,21-Suburb: Large,9.83,Regular school,Currently operational ,Elementary
29542,Hebron - Harman Elementary,7660 Ridge Chapel Road,Hanover,MD,21076,Supplemental Virtual,338.0,687.0,98.0,49.4000015258789,39.147106,-76.716957,21-Suburb: Large,13.91,Regular school,Currently operational ,Elementary
29543,High Point Elementary,924 Duvall Hwy,Pasadena,MD,21122,Supplemental Virtual,321.0,669.0,443.0,43.0999984741211,39.144177,-76.539971,21-Suburb: Large,15.52,Regular school,Currently operational ,Elementary
29544,Hillsmere Elementary,3052 Arundel On The Bay Rd,Annapolis,MD,21403,Supplemental Virtual,123.0,398.0,249.0,28.5,38.9411,-76.4871,21-Suburb: Large,13.96,Regular school,Currently operational ,Elementary
29545,Hilltop Elementary,415 Melrose Ave,Glen Burnie,MD,21061,Supplemental Virtual,457.0,570.0,142.0,50.4000015258789,39.1903,-76.6352,21-Suburb: Large,11.31,Regular school,Currently operational ,Elementary
29546,Jacobsville Elementary,3801 Mountain Rd,Pasadena,MD,21122,Supplemental Virtual,142.0,527.0,394.0,40.2000007629395,39.1222,-76.5247,21-Suburb: Large,13.11,Regular school,Currently operational ,Elementary
29547,Jessup Elementary,2798 Champion Forest Avenue,Jessup,MD,20794,Supplemental Virtual,231.0,557.0,163.0,38.4000015258789,39.146131,-76.76655699999999,21-Suburb: Large,14.51,Regular school,Currently operational ,Elementary
29548,Jones Elementary,122 Hoyle Ln,Severna Park,MD,21146,Supplemental Virtual,28.0,292.0,219.0,22.0,39.058,-76.5359,21-Suburb: Large,13.27,Regular school,Currently operational ,Elementary
